word,count
뭔데,137
돌아올,137
over,137
Boom,137
hands,137
everything,136
이건,136
손에,136
달라,136
취해,135
되고,135
느껴,135
떠나간,135
몰랐어,135
변하지,135
노래를,135
말하지,135
뻔한,135
Honey,135
오래,134
그리운,134
keep,134
If,134
살아갈,134
둘이서,134
삶이,134
빛나는,134
있다고,133
기다리는,133
when,133
가끔은,133
행복,133
내맘,133
하얗게,133
Like,133
돌아와줘,133
맘도,133
여자가,133
처럼,133
믿지,132
없다,132
않아요,132
call,132
lie,132
지나면,132
music,132
OH,132
어차피,131
사람아,131
버렸어,131
감고,131
떠나가,131
웃을,131
지울,131
말해도,130
약속,130
YOU,130
loving,130
아마,130
너무나도,130
world,130
버려,129
것은,129
bad,129
어디로,129
미치도록,129
뿐이야,128
우,128
행복했던,128
술에,128
하는지,128
따윈,128
못하게,128
입술을,128
더이상,127
그래요,127
오지,127
상처,127
일어나,127
have,127
거,127
평생,127
누굴,126
곁을,126
괜찮아요,126
말로,126
머리,126
사랑해도,126
당신의,126
잡아,126
살며시,126
높은,126
Know,126
goodbye,125
if,125
how,125
Please,125
This,125
한번도,125
miss,125
사랑하니까,125
Never,125
필요,125
미안해요,125
Everybody,125
자리에,124
아닌데,124
멈출,124
텐데,124
사랑으로,123
슬픔,123
버릴,123
말야,123
차갑게,122
4,122
오면,122
꽉,122
술,122
라라라,122
남겨진,121
ready,121
잠든,121
후,121
사랑하게,121
보낸,121
걸까,121
하니,121
해봐도,120
어린,120
그럼,120
언젠가는,120
자신이,120
이유,120
나서,120
without,120
견딜,120
없다는,119
수는,119
그대도,119
서로를,119
알면서,119
걸어,119
나란,119
Take,119
고마워,119
어쩜,119
하나로,119
everyday,119
sexy,119
여기서,118
한참을,118
every,117
Rock,117
뒤돌아,117
내리는,117
잃은,117
못해서,117
대체,117
하죠,117
말없이,117
What's,117
세상의,116
조금은,116
잡은,116
떠날,116
떠나지마,116
당신을,116
hot,116
아직은,115
만나서,115
웃어,115
진짜,115
How,115
생각나,115
근데,115
그토록,114
테니,114
차마,114
바라보며,114
G,114
모른,114
날들,114
멈춰,114
눈물에,114
말해봐,114
step,114
Sorry,114
light,113
하나도,113
지금도,113
신나게,113
원래,113
미워,113
간,112
언제라도,112
eyes,112
라라,112
대로,112
가득한,112
feeling,112
가끔씩,111
fall,111
떠올라,111
at,111
전부,111
편히,111
가만히,111
long,111
말할,111
부족한,111
참을,111
babe,111
애를,111
바보야,111
true,111
했는데,111
기다릴,110
걱정,110
가도,110
언제까지,110
자신,110
짧은,110
Call,110
안아줘,110
지우고,110
Hot,110
Peep,110
together,109
빈,109
있어줘,109
시작해,109
믿을,109
못했던,109
little,109
싶어도,109
뜨겁게,109
Bo,109
오늘이,108
내려,108
느껴봐,108
용서해,108
없나요,108
Why,108
거죠,108
어,108
보여줘,107
dream,107
세상에서,107
가슴속에,107
날까지,107
많아,107
채로,107
그리움,107
살아가는,107
꿈이,107
찾을,106
But,106
하나뿐인,106
터질,106
거리를,106
행복할,106
울어도,106
살아도,106
지나도,106
아래,106
때도,106
아니라고,106
없다면,105
아무말도,105
da,105
still,105
수만,105
기대,105
기억을,105
yeh,105
please,105
흐르고,105
때로는,105
무엇도,105
약속해,104
from,104
better,104
일도,104
두번,104
곳으로,104
그를,104
아픔,104
멀어져,104
혹시나,104
찾고,104
내일은,104
너로,104
원하고,104
AND,104
dot,104
않도록,103
있다는,103
우는,103
종일,103
pop,103
사라져,103
gone,103
하루만,103
없이는,102
향기,102
보면서,102
beat,102
바보같이,102
모습에,102
남자는,102
못된,102
여름,102
후회,101
바라는,101
못했어,101
입술에,101
걸음,101
mine,101
언젠간,100
우연히,100
온통,100
새,100
D,100
거친,100
멍하니,100
Cause,100
온종일,100
아무렇지,100
없네요,100
Party,100
NO,100
bell,100
e,100
말아,99
삶을,99
안겨,99
길이,99
real,99
있지,99
겨울,99
그걸,99
ho,99
귓가에,99
사랑하면,99
모르겠어,98
바꿔,98
한없이,98
라라라라,98
won't,98
날에,98
만나면,98
찾지,98
빛을,98
추억은,98
예,98
3,98
하루종일,98
몰라요,98
알면서도,98
줄래,98
soul,98
알지,97
빛이,97
괜히,97
To,97
어두운,97
살짝,97
말하는,97
그랬어,97
날을,97
sky,97
얼굴이,97
헤어져,97
첫,97
시간에,97
있어서,97
정말로,96
For,96
문을,96
그러니,96
그의,96
밤새,96
끝에,96
혹시라도,96
되면,96
money,96
가면,96
이제와,96
In,96
사랑만,96
싶지,95
믿어요,95
안아,95
좋겠어,95
햇살,95
갑자기,95
가져가,95
착한,95
잡지,95
들어도,95
마음도,95
간다,95
들고,95
뒤로,95
어제,94
바다,94
만나고,94
n,94
앞으로,94
이별에,94
바라보고,94
죽을만큼,94
맞춰,93
아픔을,93
가득히,93
보고싶어,93
내사랑,93
입술이,93
해야,93
부르고,93
Up,93
보니,93
잊으려,93
있었어,92
맘속에,92
Back,92
별,92
떠나고,92
나야,92
같아요,92
나면,92
알지만,92
아프고,92
담아,92
S,92
번만,92
속으로,92
사랑했어,91
이제서야,91
누구나,91
날아,91
내게는,91
사실,91
누군가,91
떨리는,91
웃음,91
땜에,91
사랑합니다,91
Time,91
노랠,91
없나봐,91
기다린,90
beautiful,90
문득,90
지워,90
곁으로,90
생각하면,90
내게서,90
남자가,90
B,90
jump,90
불러도,90
입,90
고마워요,90
눈빛이,90
잠을,89
미소를,89
지나,89
사랑하는데,89
죽도록,89
기도해,89
음악이,89
멈추지,89
얘길,89
않았어,89
미소가,89
name,89
아프지,89
음악에,89
When,89
자신을,88
나만을,88
순간을,88
음,88
너에,88
웃음이,88
맘대로,88
christmas,88
Crazy,88
이야기,88
모르니,88
Step,88
가자,88
star,88
좀더,87
닿을,87
줄게,87
속의,87
평생을,87
이별의,87
부디,87
서로가,87
걷고,87
너야,87
지켜,87
힘들,87
기억도,87
외로운,87
사진,87
사랑했는데,87
없는걸,87
UP,87
지워도,87
모르죠,87
that's,86
목이,86
인생은,86
날엔,86
푸른,86
있네,86
잃어버린,86
열어,86
생각을,86
지금은,86
뿐야,86
늦은,86
그리움에,86
뒤에서,86
어쩌다,86
was,85
smile,85
나나나나,85
추억도,85
당신이,85
bang,85
아직까지,85
얼굴을,85
곳을,85
가요,85
입술,85
보이는,85
Can,85
함께라면,85
free,85
보지,85
꿈은,85
Ya,85
싶어요,84
딴,84
Get,84
필요해,84
잊은,84
속엔,84
cause,84
별이,84
안되는,84
해가,84
나나,84
잡을,84
부르는,84
상처가,83
인해,83
leave,83
있으니,83
당신은,83
다음,83
이별도,83
고개를,83
처음처럼,83
ha,83
랩,83
흰,83
시간들,83
젖은,82
could,82
거기,82
멀리서,82
Forever,82
받아줘,82
new,82
사는게,82
슬픔이,82
결국엔,82
원한다면,82
흔들어봐,82
없겠죠,82
해서,82
뜨면,82
jingle,82
listen,82
돌이킬,81
ever,81
해줄,81
너만의,81
사람들은,81
happy,81
힘을,81
예뻐,81
했지만,80
선물,80
사람들이,80
말에,80
그말,80
없지,80
이러면,80
몰라서,80
줘요,80
lover,80
이리,80
집,80
일은,80
안에서,80
남아서,80
Christmas,80
기억은,80
없겠지,79
사람과,79
아침이,79
much,79
용기를,79
보내고,79
L,79
리듬에,79
잊어도,79
미안한,79
That's,79
집에,79
여자는,79
나나나나나,79
너에겐,79
그녀에게,79
멀어지는,79
아이처럼,79
Break,79
Zza,79
내려와,78
떠나면,78
three,78
걷는,78
한사람,78
찾아와,78
않기를,78
잠,78
하게,78
울어,78
지우려,78
inside,78
없으면,78
않을게,78
함께한,78
말이야,78
차,78
좋아요,78
try,78
살아요,78
처음으로,78
뒤,78
잔,78
미치겠어,78
앉아,78
노래가,78
찾는,78
Touch,78
힘들고,78
까지,77
내안에,77
some,77
거라,77
마라,77
모습은,77
있겠지,77
그런데,77
왔어,77
아름다워,77
넓은,77
음악을,77
생각만,77
삶에,77
두근두근,77
추억에,77
그렇게도,76
맘으로,76
잃고,76
돌아갈,76
곳에서,76
달려가,76
힘들어도,76
하나요,76
going,76
없나,76
내일이,76
번째,76
표정,76
머물러,76
흘러도,76
friend,76
~,76
wonderful,76
다들,75
서로의,75
울려,75
side,75
만나도,75
around,75
지켜줄게,75
들려,75
당신,75
그가,75
했지,75
떠나가는,75
햇살이,75
느낌이,75
미치게,75
참고,75
따스한,75
Got,75
태양,75
사람처럼,75
eh,75
Ding,75
이상은,74
부셔,74
그래야,74
또다시,74
잊게,74
요즘,74
내맘을,74
전화를,74
얘기를,74
쉬운,74
없기에,74
서둘러,74
한숨만,74
여자를,74
Make,74
귀를,74
있을게,74
환한,74
On,74
눈으로,74
오오오,74
바보가,74
말자,74
Music,74
불을,73
touch,73
마음으로,73
tu,73
솔직히,73
보내,73
싫은,73
듣지,73
허나,73
아님,73
묻고,73
바람에,73
만,73
turn,73
오오,73
취한,73
들어봐,73
야,73
LOVE,73
있겠니,73
너라면,73
OK,73
혼자가,72
했잖아,72
find,72
sing,72
헤어질,72
버리지,72
달이,72
몸이,72
뭐길래,72
coming,72
Two,72
이렇게도,72
아니라,72
아픈데,72
전부를,72
merry,72
Listen,72
날개를,71
새롭게,71
내리면,71
바라볼,71
순간이,71
끝,71
먹고,71
있다,71
울게,71
N,71
싶다,71
텅,71
듯한,71
미워서,71
조용히,71
너라는,71
기억에,71
really,71
놓고,71
Mr,71
어떡하죠,71
전,70
뭔가,70
기억해줘,70
그날,70
하,70
우리들의,70
M,70
너밖에,70
오랫동안,70
뿐이죠,70
am,70
흔들리는,70
제대로,70
있기에,70
BOUNCE,70
Life,70
감아도,70
버려도,70
Boy,70
건가요,70
말만,70
심장은,70
ok,70
단지,69
곧,69
밝은,69
wish,69
모를,69
않겠어,69
미래,69
빛,69
아이,69
하며,69
찾아서,69
울며,69
걷던,69
않죠,69
끝없이,69
순간도,69
사이,69
어떡하라고,69
안고서,69
하루에도,69
멋대로,69
너만이,69
손이,69
remember,69
막혀,69
하네요,69
사랑하나봐,69
ME,69
만드는,69
Shake,69
못해도,69
Ra,69
할수,68
기억들,68
모습으로,68
With,68
구름,68
예전처럼,68
같던,68
행복하길,68
비친,68
한참,68
아침에,68
멜로디,68
남기고,68
향기가,68
고백,68
만든,68
DJ,68
언제,68
미워도,68
슬퍼,68
흘린,68
미련한,68
랄랄라,68
Wanna,68
주세요,67
than,67
하나가,67
잊어버려,67
필요없어,67
그때는,67
상처를,67
변한,67
되,67
앞을,67
마다,67
고운,67
미련,67
파란,67
미소로,67
떠,67
Down,67
C,67
내일을,67
전화,67
마음속에,67
이토록,67
forget,67
사랑이라,67
어딜,67
챔피언,67
헤어진,66
그녀와,66
보게,66
our,66
flow,66
knock,66
길은,66
속을,66
순간에,66
겨우,66
의미,66
괜한,66
alone,66
바라,66
봤어,66
game,66
Every,66
없니,66
많은데,66
상처만,66
한걸음,66
THE,66
Is,66
이런게,66
끌려,66
뛰는,66
ooh,66
알기에,65
믿어줘,65
말하면,65
lovely,65
낯선,65
후에,65
모자란,65
있나,65
another,65
지나고,65
힘껏,65
비를,65
눈엔,65
없는지,65
환하게,65
아픔이,65
가지고,65
길에,65
돌아서,65
떠나요,65
보여요,65
있겠죠,65
나니까,65
style,65
영원할,64
아플,64
who,64
어디서,64
두렵지,64
했죠,64
이래,64
나요,64
들을,64
또한,64
예전,64
어쩌죠,64
느끼고,64
waiting,64
감아,64
아니죠,64
기회를,64
아픔도,64
가슴으로,64
커다란,63
울었어,63
꺼야,63
쉽지,63
한다고,63
별을,63
sweet,63
rain,63
내게도,63
이럴,63
웃던,63
하나만을,63
세월이,63
감으면,63
놀아,63
말해요,63
와요,63
써,63
사실은,63
둘만의,63
바라고,63
타는,63
그리움이,63
약한,63
said,63
honey,63
나인데,63
잠시만,63
thank,63
breathe,63
하던,62
어색한,62
자릴,62
날들이,62
뭔지,62
모습도,62
때는,62
우리를,62
대한,62
people,62
화를,62
Da,62
club,62
Show,62
사랑이야,62
거라면,61
보내야,61
bring,61
been,61
움직여,61
다가올,61
그동안,61
어떻게든,61
그리워서,61
하네,61
달라고,61
이제부터,61
추억으로,61
와도,61
아마도,61
어때,61
모아,61
떠나도,61
목소리가,61
번을,61
변치,61
지킬,61
Ha,61
뒷모습,61
울다,61
Tonight,61
살게,61
싫은데,61
울다가,61
중,60
고개,60
수줍은,60
지금처럼,60
돌아오지,60
into,60
nothing,60
무얼,60
없으니,60
T,60
지금껏,60
서서,60
만나지,60
그만큼,60
받아,60
없단,60
남자야,60
summer,60
밤은,60
기나긴,60
꿈처럼,60
뿐인,60
발,60
work,60
Kiss,60
씨구,60
GOING,60
중에,59
이유로,59
그때로,59
then,59
다가오는,59
이세상,59
막을,59
cool,59
한다면,59
지금까지,59
많아서,59
사람도,59
감싸,59
추억들이,59
끝을,59
해봐,59
믿었어,59
편하게,59
좋아하는,59
버려진,59
소리질러,59
부탁해,59
친구들,59
하루에,59
울리는,59
잡아줘,59
내리고,59
달콤하게,59
Feel,59
Wow,59
부비부비,59
기다릴게,58
사진을,58
die,58
잊어줘,58
맑은,58
check,58
Hold,58
알았는데,58
하나의,58
날들을,58
있단,58
아닐까,58
되지,58
겁이,58
살아가,58
다가가,58
하면서,58
